location,dist_from_city
Whitefield,17.3
Sarjapur  Road,17.2
Electronic City,18.1
Kanakpura Road,26.5
Thanisandra,11.5
Yelahanka,20.8
Uttarahalli,12.9
Hebbal,11.1
Marathahalli,10.9
Raja Rajeshwari Nagar,15.3
Hennur Road,14.4
Bannerghatta Road,18.8
7th Phase JP Nagar,11.0
Haralur Road,14.9
Electronic City Phase II,19.3
Rajaji Nagar,9.6
Chandapura,24.0
Bellandur,12.9
KR Puram,11.9
Hoodi,13.3
Electronics City Phase 1,20.3
Yeshwanthpur,13.4
Begur Road,10.8
Sarjapur,17.2
Kasavanhalli,15.0
Harlur,16.1
Banashankari,11.2
Hormavu,11.9
Ramamurthy Nagar,11.7
Kengeri,22.5
Koramangala,8.3
JP Nagar,9.9
Hosa Road,15.7
Jakkur,12.9
Old Madras Road,4.7
Varthur,17.4
Kothanur,11.8
Kaggadasapura,8.9
Nagarbhavi,17.0
Akshaya Nagar,13.8
Thigalarapalya,15.0
TC Palaya,12.2
Malleshwaram,8.3
8th Phase JP Nagar,14.5
Rachenahalli,13.0
Hennur,10.0
Jigani,27.7
Budigere,30.9
HSR Layout,10.5
Jalahalli,16.6
Hulimavu,15.0
Bisuvanahalli,38.4
Panathur,14.2
Mysore Road,28.6
Ramagondanahalli,15.4
Hegde Nagar,13.7
Bhoganhalli,15.3
Gottigere,15.2
Brookefield,15.1
Hosur Road,19.0
Kundalahalli,17.4
Balagere,16.1
Devanahalli,38.7
Indira Nagar,3.7
Subramanyapura,16.0
9th Phase JP Nagar,15.8
Vidyaranyapura,18.0
Vittasandra,17.5
CV Raman Nagar,7.2
Horamavu Agara,12.2
Kadugodi,18.7
Attibele,31.8
Kanakapura,47.7
Vijayanagar,11.1
Yelahanka New Town,21.5
Kengeri Satellite Town,16.9
Talaghattapura,17.1
5th Phase JP Nagar,10.9
Green Glen Layout,16.9
Sahakara Nagar,13.3
Kudlu Gate,11.8
Channasandra,19.6
Bommasandra,21.7
Lakshminarayana Pura,13.3
Anekal,34.2
Hosakerehalli,13.4
Frazer Town,4.0
R.T. Nagar,9.7
Bommanahalli,9.6
Hebbal Kempapura,13.4
Kalena Agrahara,13.5
Old Airport Road,9.9
Tumkur Road,20.9
Basavangudi,7.1
Ambedkar Nagar,18.9
Mahadevpura,10.3
Ananth Nagar,21.6
Kumaraswami Layout,12.2
Doddathoguru,19.6
Chikkalasandra,12.1
Kammasandra,21.2
Dodda Nekkundi,11.9
Kudlu,13.4
BTM 2nd Stage,10.0
Horamavu Banaswadi,9.9
Padmanabhanagar,11.3
Somasundara Palya,12.0
Banashankari Stage III,11.2
Singasandra,12.8
Kodichikkanahalli,11.3
Ambalipura,13.7
